Date,Israeli_Lines_MWs,Gaza_Power_Plant_MWs,Egyptian_Lines_MWs,Total_daily_Supply_available_in_MWs,Overall_demand_in_MWs,Power_Cuts_hours_day_400mg,Temp
12/30/2017,70,55,14,139,450,7,15
12/31/2017,70,55,14,139,450,7,17
1/1/2018,70,55,14,139,651,5,11
1/2/2018,70,55,14,139,642,5,11
1/3/2018,70,55,14,139,651,5,11
1/4/2018,70,55,0,125,654,4,10
1/5/2018,70,55,0,125,654,4,10
1/6/2018,70,55,0,125,636,4,12
1/7/2018,70,55,4,129,552,5,13
1/8/2018,120,55,4,179,563,7,13
1/9/2018,120,55,13,188,563,8,14
1/10/2018,120,56,14,190,556,8,14
1/11/2018,120,56,14,190,551,8,14
1/12/2018,120,56,14,190,539,8,14
1/13/2018,120,56,24,200,516,9,13
1/14/2018,120,56,24,200,532,9,13
1/15/2018,120,56,24,200,536,8,13
1/16/2018,120,56,24,200,539,8,13
1/17/2018,120,25,19,164,549,7,12
1/18/2018,120,25,14,159,548,6,11
1/19/2018,108,48,0,156,577,6,11
1/20/2018,120,58,0,178,558,7,14
1/21/2018,120,58,14,192,547,8,15
1/22/2018,120,25,24,169,531,7,15.5
1/23/2018,120,25,24,169,546,7,14
1/24/2018,120,25,24,169,543,7,14
1/25/2018,120,25,24,169,549,7,13
1/26/2018,120,25,24,169,559,7,11
1/27/2018,108,25,14,147,621,5,11
1/28/2018,120,25,14,159,608,6,13
1/29/2018,120,25,14,159,608,6,13
1/30/2018,120,25,14,159,591,6,14
1/31/2018,120,25,14,159,561,6,14
2/1/2018,120,25,0,145,560,6,14
2/2/2018,120,25,0,145,556,6,14
2/3/2018,120,25,0,145,558,6,16
2/4/2018,120,25,14,159,558,6,16
2/5/2018,120,25,14,159,521,7,17
2/6/2018,120,25,4,149,474,7,17
2/7/2018,120,25,4,149,509,7,15
2/8/2018,120,25,24,169,524,7,16
2/9/2018,120,25,24,169,503,8,17
2/10/2018,120,25,24,169,514,7,16
2/11/2018,120,25,0,145,571,6,16
2/12/2018,120,25,0,145,595,5,17
2/13/2018,120,25,0,145,578,6,16
2/14/2018,120,25,0,145,567,6,16
2/15/2018,120,0,0,120,591,4,16
2/16/2018,120,0,0,120,567,5,17
2/17/2018,120,0,0,120,628,4,10
2/18/2018,120,0,0,120,603,4,16
2/19/2018,120,25,0,145,583,5,15
2/20/2018,120,25,0,145,579,6,17
2/21/2018,120,25,0,145,558,6,16
2/22/2018,120,0,0,120,533,5,17
2/23/2018,120,0,0,120,600,4,18
2/24/2018,120,0,0,120,572,5,18
2/25/2018,120,25,0,145,563,6,17
2/26/2018,120,25,0,145,546,6,20
2/27/2018,120,25,0,145,542,6,19
2/28/2018,120,25,0,145,548,6,19
3/1/2018,120,25,0,145,559,6,19
3/2/2018,120,25,0,145,545,6,17
3/3/2018,120,25,0,145,536,6,21
3/4/2018,120,25,0,145,531,6,24
3/5/2018,120,25,0,145,524,6,21
3/6/2018,120,25,0,145,507,6,20
3/7/2018,120,25,0,145,504,6,20
3/8/2018,120,25,0,145,504,6,21
3/9/2018,120,25,0,145,508,6,21
3/10/2018,120,25,0,145,524,6,20
3/11/2018,120,25,0,145,516,6,19
3/12/2018,120,25,0,145,509,6,19
3/13/2018,120,25,0,145,501,6,20
3/14/2018,120,25,0,145,494,7,20
3/15/2018,120,25,0,145,502,6,19
3/16/2018,120,25,0,145,506,6,19
3/17/2018,120,25,0,145,512,6,18
3/18/2018,120,25,0,145,506,6,20
3/19/2018,120,25,0,145,514,6,20
3/20/2018,120,23,0,143,514,6,21
3/21/2018,120,23,0,143,513,6,20
3/22/2018,120,23,0,143,521,6,23
3/23/2018,120,23,0,143,517,6,27
3/24/2018,120,23,0,143,510,6,21
3/25/2018,120,0,0,120,590,4,20
3/26/2018,120,0,0,120,575,5,21
3/27/2018,120,23,0,143,560,6,21
3/28/2018,120,23,0,143,565,6,22
3/29/2018,120,25,0,145,553,6,21
3/30/2018,120,23,0,143,525,6,22
3/31/2018,120,23,0,143,511,6,20
4/1/2018,120,23,0,143,539,6,20
4/2/2018,120,23,0,143,535,6,20
4/3/2018,120,23,0,143,516,6,18
4/4/2018,120,23,0,143,514,6,19
4/5/2018,120,23,0,143,529,6,21
4/6/2018,120,23,0,143,522,6,20
4/7/2018,108,23,0,131,532,5,21
4/8/2018,120,23,0,143,521,6,22
4/9/2018,120,23,0,143,512,6,21
4/10/2018,120,23,0,143,512,6,22
4/11/2018,120,23,0,143,522,6,20
4/12/2018,120,23,0,143,538,6,21
4/13/2018,120,0,0,120,603,4,22
4/14/2018,120,0,0,120,605,4,20
4/15/2018,120,0,0,120,597,4,21
4/16/2018,120,0,0,120,599,4,22
4/17/2018,120,0,0,120,584,4,24
4/18/2018,120,0,0,120,565,5,24
4/19/2018,120,0,0,120,551,5,22
4/20/2018,120,0,0,120,540,5,21
4/21/2018,120,0,0,120,529,5,22
4/22/2018,108,0,0,108,542,4,22
4/23/2018,120,0,0,120,558,5,21
4/24/2018,120,0,0,120,546,5,22
4/25/2018,120,0,0,120,542,5,20
4/26/2018,120,0,0,120,531,5,21
4/27/2018,120,0,0,120,524,5,21
4/28/2018,120,0,0,120,517,5,20
4/29/2018,120,0,0,120,522,5,21
4/30/2018,120,0,0,120,524,5,25
5/1/2018,120,0,0,120,508,5,26
5/2/2018,94,0,0,94,514,4,27
5/3/2018,116,0,0,116,525,5,28
5/4/2018,120,0,0,120,514,5,26
5/5/2018,120,0,0,120,527,5,23
5/6/2018,120,0,0,120,537,5,25
5/7/2018,120,0,0,120,532,5,23
5/8/2018,108,0,0,108,538,4,23
5/9/2018,120,0,0,120,524,5,22
5/10/2018,120,0,0,120,518,5,24
5/11/2018,120,0,0,120,514,5,25
5/12/2018,120,0,0,120,527,5,26
5/13/2018,120,0,0,120,525,5,23
5/14/2018,120,0,0,120,526,5,24
5/15/2018,120,0,0,120,517,5,23
5/16/2018,120,0,0,120,522,5,22
5/17/2018,120,0,0,120,533,5,23
5/18/2018,120,0,0,120,526,5,26
5/19/2018,120,0,0,120,529,5,26
5/20/2018,120,0,0,120,523,5,25
5/21/2018,120,0,0,120,525,5,26
5/22/2018,120,0,0,120,524,5,28
5/23/2018,108,0,0,108,524,4,25
5/24/2018,108,0,0,108,516,5,23
5/25/2018,120,0,0,120,519,5,26
5/26/2018,120,0,0,120,515,5,27
5/27/2018,120,0,0,120,510,5,26
5/28/2018,120,0,0,120,500,5,27
5/29/2018,120,0,0,120,530,5,25
5/30/2018,84,16,0,100,524,4,26
5/31/2018,84,20,0,104,521,4,25
6/1/2018,113,20,0,133,521,6,27
6/2/2018,113,21,0,134,518,6,26
6/3/2018,99,21,0,120,519,5,26
6/4/2018,111,21,0,132,521,6,27
6/5/2018,111,21,0,132,522,6,26
6/6/2018,111,0,0,111,526,5,27
6/7/2018,99,0,0,99,530,4,26
6/8/2018,120,0,0,120,516,5,25
6/9/2018,120,0,0,120,515,5,27
6/10/2018,120,0,0,120,518,5,28
6/11/2018,120,0,0,120,515,5,27
6/12/2018,120,0,0,120,517,5,27
6/13/2018,120,0,0,120,525,5,26
6/14/2018,120,0,0,120,523,5,27
6/15/2018,120,0,0,120,511,5,36
6/16/2018,120,0,0,120,515,5,38
6/17/2018,120,0,0,120,517,5,36
6/18/2018,120,0,0,120,518,5,31
6/19/2018,120,0,0,120,522,5,31
6/20/2018,120,0,0,120,518,5,33
6/21/2018,120,20,0,140,512,6,31
6/22/2018,120,20,0,140,503,6,30
6/23/2018,108,20,0,128,511,6,31
6/24/2018,120,20,0,140,521,6,31
6/25/2018,120,20,0,140,513,6,31
6/26/2018,120,20,0,140,521,6,30
6/27/2018,120,20,0,140,519,6,29
6/28/2018,120,20,0,140,517,6,30
6/29/2018,120,20,0,140,509,6,28
6/30/2018,120,20,0,140,518,6,30
